cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
02016;Bienservida;9,73;28,52;2,91;1,4;13573,0;33,13;48,7;6,19;31,4;30,43;17,39;15,74;59,39;18,74;21,1;14,4;17,97;64,62;50,79
02017;Bogarra;7,45;41,12;4,25;1,04;12567,0;31,71;46,86;4,57;33,48;14,48;22,62;16,19;70,48;32,16;10,86;9,17;22,41;62,15;41,19
02018;Bonete;10,95;24,83;12,03;0,82;14837,0;29,91;55,02;5,26;23,94;13,22;33,67;24,6;62,03;21,97;12,93;20,59;14,25;65,38;52,41
02019;Bonillo, El;11,29;23,06;5,67;1,08;13939,0;35,63;51,85;3,41;22,07;21,03;26,56;19,04;61,64;24,55;13,77;15,4;12,66;67,26;56,48
02020;Carcelén;10,53;35,18;10,0;1,49;13389,0;32,63;47,32;4,43;29,41;19,53;24,85;14,1;73,08;30,77;18,24;13,63;14,02;68,4;47,45
02021;Casas de Juan Núñez;16,71;19,23;19,49;1,19;13011,0;33,13;54,2;6,99;23,76;18,45;18,82;21,18;61,83;22,06;17,13;15,29;16,21;58,86;55,24
02022;Casas de Lázaro;1,01;36,57;1,35;0,0;17368,0;29,45;53,4;7,77;22,4;8,06;22,58;28,21;58,97;24,28;16,29;16,61;18,18;67,24;45,69
02023;Casas de Ves;8,0;33,92;8,87;2,09;14417,0;32,94;50,39;5,49;37,96;26,85;15,74;13,78;75,51;24,81;21,32;18,41;10,33;74,06;46,99
02024;Casas-Ibáñez;16,14;18,7;18,53;1,05;13630,0;36,05;50,79;6,04;28,88;18,36;22,08;20,39;61,82;21,87;17,59;23,08;10,66;65,95;57,2
02025;Caudete;18,22;18,31;15,87;1,45;13182,0;31,62;54,16;7,12;17,54;5,69;30,87;26,29;60,05;16,92;18,1;25,17;15,13;59,74;55,01
02026;Cenizate;15,82;20,05;17,74;1,19;11822,0;35,14;53,01;4,29;25,49;40,16;17,35;18,3;49,48;24,98;13,61;18,22;10,47;70,01;58,79
02027;Corral-Rubio;9,67;28,01;5,3;0,3;16104,0;36,53;45,76;7,38;30,83;17,5;24,17;26,09;66,96;16,0;16,0;25,09;13,64;62,64;48,53
02028;Cotillas;4,23;30,57;3,25;1,27;13340,0;28,33;50,83;9,17;41,86;25,58;11,63;16,28;67,44;23,58;15,45;15,45;22,95;62,67;49,59
02029;Chinchilla de Monte-Aragón;17,19;13,97;7,71;1,22;15504,0;35,57;50,74;8,1;15,9;5,8;23,17;25,4;60,66;12,94;22,6;26,03;11,94;68,47;64,34
02030;Elche de la Sierra;15,33;20,97;6,05;1,16;13205,0;33,13;49,97;7,9;26,5;8,28;25,05;22,85;63,05;18,83;16,24;22,26;21,38;57,89;54,57
02031;Férez;11,89;27,88;4,97;0,81;13671,0;33,89;47,86;7,26;27,55;19,39;21,94;18,48;63,04;21,01;18,84;16,49;25,18;56,99;50,82
